destination,year,month,crowd_risk_level,crowd_score_0_100,crowd_ratio,social_media_sentiment,trending,is_off_season,event_note,recommendation_action,model_used
Yala,2025,10,LOW,20.3,0.2029,0.47,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,10,MEDIUM,41.3,0.4132,0.771,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,10,LOW,7.9,0.0793,0.402,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,10,LOW,37.2,0.3724,0.406,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,10,LOW,37.9,0.3794,0.558,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,10,MEDIUM,52.6,0.526,0.663,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,10,MEDIUM,45.0,0.4496,0.721,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,11,MEDIUM,58.6,0.5857,0.618,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,11,MEDIUM,53.7,0.5365,0.713,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,11,MEDIUM,67.2,0.6722,0.761,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,11,MEDIUM,51.5,0.5146,0.628,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,11,MEDIUM,46.3,0.4633,0.717,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,11,HIGH,72.9,0.7287,0.85,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,11,HIGH,71.6,0.7163,0.89,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,11,MEDIUM,66.3,0.6628,0.689,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,11,LOW,19.8,0.1983,0.459,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,11,LOW,25.4,0.2545,0.401,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,11,MEDIUM,40.7,0.4074,0.626,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,11,LOW,34.0,0.3405,0.527,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,11,MEDIUM,45.4,0.4543,0.653,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,11,MEDIUM,41.9,0.4194,0.695,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,11,MEDIUM,46.5,0.4645,0.78,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,11,LOW,14.8,0.1477,0.463,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,11,MEDIUM,45.6,0.4556,0.745,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,11,LOW,34.8,0.3483,0.467,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,11,MEDIUM,63.9,0.6388,0.661,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,11,MEDIUM,56.7,0.5671,0.662,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,12,MEDIUM,68.5,0.6849,0.588,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,12,HIGH,78.5,0.7852,0.778,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,12,HIGH,90.1,0.9008,0.729,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,12,MEDIUM,60.3,0.6027,0.673,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,12,MEDIUM,62.5,0.6254,0.646,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,12,HIGH,82.6,0.8264,0.933,1,0,Whale watching peak season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,12,HIGH,77.9,0.7792,0.688,0,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,12,HIGH,81.8,0.8176,0.79,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,12,LOW,13.3,0.1329,0.493,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,12,LOW,22.3,0.2227,0.416,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,12,MEDIUM,42.1,0.4212,0.702,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,12,MEDIUM,43.4,0.4337,0.644,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,12,MEDIUM,60.1,0.6008,0.586,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,12,MEDIUM,53.6,0.5358,0.608,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,12,MEDIUM,54.9,0.5487,0.665,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,12,HIGH,86.9,0.8694,0.841,1,0,Pilgrimage season opens (Unduvap Poya),redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,12,MEDIUM,51.6,0.5156,0.737,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,12,MEDIUM,41.8,0.4183,0.717,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,12,HIGH,73.2,0.7323,0.847,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,12,HIGH,74.1,0.7405,0.847,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,1,MEDIUM,59.9,0.599,0.593,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,1,MEDIUM,68.0,0.68,0.662,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,1,HIGH,82.3,0.823,0.735,0,0,Galle Literary Festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,1,MEDIUM,46.2,0.462,0.585,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,1,MEDIUM,53.3,0.533,0.703,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,1,HIGH,84.1,0.841,0.909,1,0,Whale watching peak season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,1,HIGH,85.3,0.853,0.768,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,1,HIGH,84.4,0.844,0.852,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,1,LOW,14.5,0.145,0.439,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,1,LOW,24.9,0.249,0.367,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,1,LOW,37.3,0.373,0.565,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,1,LOW,28.5,0.285,0.484,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2026,1,MEDIUM,48.0,0.48,0.621,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2026,1,MEDIUM,52.9,0.529,0.598,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2026,1,MEDIUM,51.8,0.518,0.6,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2026,1,HIGH,94.9,0.949,0.817,1,0,Peak pilgrimage season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2026,1,MEDIUM,57.8,0.578,0.596,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2026,1,LOW,35.2,0.352,0.495,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2026,1,MEDIUM,67.4,0.674,0.591,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2026,1,HIGH,70.4,0.704,0.865,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,2,MEDIUM,58.3,0.583,0.683,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,2,HIGH,74.3,0.743,0.854,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,2,HIGH,79.3,0.793,0.712,0,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,2,LOW,38.6,0.386,0.453,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,2,MEDIUM,51.6,0.516,0.596,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,2,HIGH,90.5,0.905,0.72,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,2,HIGH,82.2,0.822,0.747,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,2,HIGH,78.3,0.783,0.823,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,2,LOW,17.5,0.175,0.427,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,2,LOW,32.3,0.323,0.415,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,2,LOW,31.9,0.319,0.382,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,2,LOW,28.5,0.285,0.536,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2026,2,MEDIUM,45.1,0.451,0.602,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2026,2,MEDIUM,60.2,0.602,0.638,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2026,2,MEDIUM,53.3,0.533,0.614,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2026,2,HIGH,85.8,0.858,0.811,1,0,Peak pilgrimage season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2026,2,MEDIUM,67.9,0.679,0.665,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2026,2,LOW,38.2,0.382,0.425,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2026,2,MEDIUM,60.7,0.607,0.624,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2026,2,HIGH,75.9,0.759,0.795,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,3,MEDIUM,65.7,0.657,0.775,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,3,HIGH,75.4,0.754,0.8,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,3,HIGH,78.4,0.784,0.796,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,3,MEDIUM,44.1,0.441,0.59,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,3,MEDIUM,58.9,0.589,0.629,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,3,HIGH,79.3,0.793,0.921,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,3,HIGH,77.8,0.778,0.807,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,3,HIGH,76.7,0.767,0.687,0,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,3,LOW,31.5,0.315,0.496,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,3,MEDIUM,41.4,0.414,0.719,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,3,LOW,40.0,0.4,0.425,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,3,LOW,33.7,0.337,0.586,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2026,3,MEDIUM,53.3,0.533,0.665,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2026,3,MEDIUM,53.0,0.53,0.599,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2026,3,MEDIUM,52.6,0.526,0.599,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2026,3,HIGH,73.8,0.738,0.791,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2026,3,MEDIUM,57.0,0.57,0.67,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2026,3,MEDIUM,45.2,0.452,0.619,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2026,3,MEDIUM,61.4,0.614,0.591,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2026,3,MEDIUM,66.8,0.668,0.673,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,4,MEDIUM,58.2,0.582,0.595,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,4,MEDIUM,66.4,0.664,0.731,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,4,MEDIUM,61.6,0.616,0.763,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,4,MEDIUM,53.2,0.532,0.575,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,4,HIGH,90.6,0.906,0.91,1,0,April Season - New Year festivities,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,4,MEDIUM,65.6,0.656,0.647,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,4,MEDIUM,64.7,0.647,0.582,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,4,MEDIUM,68.4,0.684,0.658,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,4,MEDIUM,64.6,0.646,0.694,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,4,MEDIUM,67.7,0.677,0.663,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,4,MEDIUM,54.8,0.548,0.678,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,4,MEDIUM,58.1,0.581,0.731,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2026,4,MEDIUM,55.6,0.556,0.619,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2026,4,MEDIUM,48.4,0.484,0.642,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2026,4,MEDIUM,53.9,0.539,0.716,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2026,4,MEDIUM,62.3,0.623,0.742,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2026,4,MEDIUM,53.2,0.532,0.624,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2026,4,MEDIUM,43.7,0.437,0.551,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2026,4,MEDIUM,62.3,0.623,0.654,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2026,4,MEDIUM,50.9,0.509,0.572,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,5,LOW,35.3,0.353,0.55,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,5,MEDIUM,41.0,0.41,0.36,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,5,LOW,36.7,0.367,0.434,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,5,MEDIUM,44.1,0.441,0.647,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,5,MEDIUM,55.1,0.551,0.692,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,5,LOW,33.4,0.334,0.518,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,5,LOW,33.1,0.331,0.384,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,5,LOW,35.1,0.351,0.454,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,5,HIGH,79.6,0.796,0.819,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,5,HIGH,82.0,0.82,0.811,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,5,HIGH,82.1,0.821,0.787,1,0,Vesak Poya pilgrimage surge,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,5,HIGH,71.3,0.713,0.617,0,0,Vesak Poya pilgrimage,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2026,5,MEDIUM,53.8,0.538,0.656,0,0,Vesak at the Golden Cave Temple,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2026,5,MEDIUM,50.5,0.505,0.74,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2026,5,LOW,39.9,0.399,0.515,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2026,5,MEDIUM,63.7,0.637,0.526,0,0,Season closes at Vesak Poya,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2026,5,MEDIUM,42.8,0.428,0.628,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2026,5,MEDIUM,50.0,0.5,0.603,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2026,5,MEDIUM,50.6,0.506,0.755,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2026,5,LOW,37.5,0.375,0.526,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,6,LOW,33.2,0.332,0.382,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,6,LOW,34.8,0.348,0.479,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,6,LOW,28.8,0.288,0.493,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,6,MEDIUM,52.1,0.521,0.628,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,6,MEDIUM,42.5,0.425,0.677,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,6,LOW,25.4,0.254,0.52,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,6,LOW,28.3,0.283,0.487,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,6,LOW,27.7,0.277,0.431,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,6,HIGH,89.5,0.895,0.745,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,6,HIGH,86.1,0.861,0.809,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,6,HIGH,91.6,0.916,0.883,1,0,Poson Poya - peak pilgrimage of the year,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,6,HIGH,74.5,0.745,0.735,0,0,Poson Poya pilgrimage,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2026,6,MEDIUM,45.7,0.457,0.686,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2026,6,HIGH,72.8,0.728,0.755,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2026,6,LOW,38.6,0.386,0.552,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2026,6,LOW,5.3,0.053,0.444,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2026,6,LOW,35.0,0.35,0.474,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2026,6,MEDIUM,55.2,0.552,0.716,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2026,6,MEDIUM,53.0,0.53,0.659,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2026,6,LOW,32.8,0.328,0.447,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,7,MEDIUM,55.2,0.552,0.547,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,7,MEDIUM,54.7,0.547,0.695,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,7,MEDIUM,48.1,0.481,0.639,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,7,HIGH,88.2,0.882,0.841,1,0,Esala Perahera festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,7,MEDIUM,52.7,0.527,0.603,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,7,LOW,38.0,0.38,0.391,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,7,MEDIUM,41.2,0.412,0.548,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,7,MEDIUM,40.7,0.407,0.478,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,7,HIGH,92.0,0.92,0.879,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,7,HIGH,90.5,0.905,0.881,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,7,MEDIUM,63.5,0.635,0.573,0,0,Esala season pilgrimage,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,7,MEDIUM,55.0,0.55,0.652,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2026,7,MEDIUM,46.6,0.466,0.606,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2026,7,HIGH,81.8,0.818,0.775,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2026,7,MEDIUM,49.0,0.49,0.566,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2026,7,LOW,5.1,0.051,0.369,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2026,7,MEDIUM,46.3,0.463,0.713,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2026,7,HIGH,76.0,0.76,0.95,1,0,Nallur Kandaswamy festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2026,7,MEDIUM,59.0,0.59,0.661,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2026,7,MEDIUM,40.4,0.404,0.692,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,8,MEDIUM,55.3,0.553,0.657,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,8,HIGH,71.6,0.716,0.644,0,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,8,MEDIUM,50.6,0.506,0.608,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,8,HIGH,94.9,0.949,0.926,1,0,Esala Perahera festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,8,MEDIUM,55.2,0.552,0.759,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,8,MEDIUM,41.1,0.411,0.416,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,8,MEDIUM,43.5,0.435,0.708,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,8,MEDIUM,41.3,0.413,0.556,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,8,HIGH,85.2,0.852,0.805,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,8,HIGH,80.5,0.805,0.857,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,8,HIGH,71.0,0.71,0.57,0,0,Esala season pilgrimage,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,8,MEDIUM,61.3,0.613,0.687,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2026,8,MEDIUM,50.1,0.501,0.715,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2026,8,HIGH,86.2,0.862,0.848,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2026,8,MEDIUM,53.7,0.537,0.55,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2026,8,LOW,6.2,0.062,0.462,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2026,8,MEDIUM,56.3,0.563,0.573,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2026,8,MEDIUM,68.8,0.688,0.713,0,0,Nallur Kandaswamy festival,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2026,8,MEDIUM,56.2,0.562,0.691,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2026,8,MEDIUM,47.1,0.471,0.652,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2026,9,MEDIUM,40.2,0.402,0.419,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2026,9,MEDIUM,44.2,0.442,0.622,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2026,9,LOW,39.2,0.392,0.431,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2026,9,MEDIUM,49.1,0.491,0.621,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2026,9,MEDIUM,42.4,0.424,0.596,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2026,9,LOW,32.9,0.329,0.424,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2026,9,LOW,39.3,0.393,0.462,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2026,9,LOW,36.0,0.36,0.361,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2026,9,HIGH,74.8,0.748,0.873,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2026,9,MEDIUM,63.2,0.632,0.714,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2026,9,LOW,31.6,0.316,0.535,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2026,9,LOW,31.6,0.316,0.428,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
